Scanning on network 192.168.80.0/24
Device found at 192.168.80.1
Device found at 192.168.80.5
Device found at 192.168.80.27
Device found at 192.168.80.32
Device found at 192.168.80.50
Device found at 192.168.80.66
Device found at 192.168.80.77
Device found at 192.168.80.99
Device found at 192.168.80.113
Device found at 192.168.80.124
Device found at 192.168.80.127
Device found at 192.168.80.140
Device found at 192.168.80.144
Device found at 192.168.80.146
Device found at 192.168.80.151
Device found at 192.168.80.152
Device found at 192.168.80.153
Device found at 192.168.80.154
Device found at 192.168.80.155
Device found at 192.168.80.163
Device found at 192.168.80.169
Device found at 192.168.80.195
Device found at 192.168.80.199
Device found at 192.168.80.213
Device found at 192.168.80.216
Device found at 192.168.80.227
Device found at 192.168.80.244
